iter	MultiClass
154	0.5399530383
155	0.5398427675
156	0.5397370952
157	0.5396085237
158	0.5394591092
159	0.5393408152
160	0.5391920447
161	0.5390379165
162	0.5388895661
163	0.5387506516
164	0.5386308069
165	0.5385337476
166	0.5384501958
167	0.538357338
168	0.5382258451
169	0.5381433524
170	0.5380561609
171	0.5379756396
172	0.5378530243
173	0.5377846113
174	0.5376624809
175	0.5375451048
176	0.5374849511
177	0.537389686
178	0.5372456578
179	0.5371807944
180	0.5370985704
181	0.5369926408
182	0.5368642428
183	0.5367681326
184	0.5366689435
185	0.5365832226
186	0.5364769783
187	0.5364044894
188	0.5363412909
189	0.5362864559
190	0.5362106666
191	0.5360882078
192	0.5360048576
193	0.5359028495
194	0.5357969839
195	0.5356709397
196	0.5355894081
197	0.5355353569
198	0.5354215707
199	0.5352964071
200	0.5351898157
201	0.5351357599
202	0.5350922583
203	0.5350364959
204	0.5349429968
205	0.5348110573
206	0.5347013309
207	0.5346273626
208	0.5345209117
209	0.5344329758
210	0.5343568359
211	0.534301392
212	0.5341732923
213	0.534085229
214	0.5340141545
215	0.5339393463
216	0.5338340009
217	0.5337234431
218	0.5336552654
219	0.5335736001
220	0.5335086344
221	0.5334648431
222	0.5333876254
223	0.5333237211
224	0.5332690801
225	0.5332115345
226	0.5331483919
227	0.5330715768
228	0.5329845244
229	0.5328993473
230	0.5328631284
231	0.5327872639
232	0.532726005
233	0.5326422289
234	0.5325833365
235	0.5324852193
236	0.5324054366
237	0.5323191067
238	0.5322596952
239	0.5322015207
240	0.5321419213
241	0.5320759123
242	0.5319764557
243	0.5318825082
244	0.531799611
245	0.5317602172
246	0.5317006595
247	0.5316254315
248	0.531571815
249	0.5314905367
250	0.531422537
251	0.5313440999
252	0.531272235
253	0.5312125052
254	0.5311553902
255	0.5310382222
256	0.5309557826
257	0.5308980671
258	0.5308602263
259	0.5307845782
260	0.5306808971
261	0.5305830267
262	0.5305146288
263	0.530459638
264	0.530405621
265	0.5303473682
266	0.5302546681
267	0.5301812353
268	0.5301410672
269	0.530074283
270	0.5300283618
271	0.5299376144
272	0.5298792023
273	0.5297930285
274	0.5297057757
275	0.5296492558
276	0.5295721747
277	0.5295369792
278	0.5294652631
279	0.5294119314
280	0.5293174606
281	0.5292482843
282	0.5291786526
283	0.5291362432
284	0.5290733175
285	0.528983671
286	0.5289493776
287	0.5288880812
288	0.5288246727
289	0.5287888381
290	0.5287138392
291	0.5286343078
292	0.5285815375
293	0.528525766
294	0.5284928888
295	0.5284067355
296	0.5283615919
297	0.5283289188
298	0.5282713612
299	0.5282076743
300	0.528153971
301	0.5280995876
302	0.5280654722
303	0.5280073707
304	0.527969252
305	0.5278857216
306	0.5278442093
307	0.5277618733
308	0.5276896632
309	0.527606787
310	0.527554265
311	0.527517267
312	0.5274681103
313	0.5273914263
314	0.5273323123
315	0.5272895945
316	0.5272432751
317	0.5271953013
318	0.527112981
319	0.5270582993
320	0.5269609043
321	0.5269032792
